0	NAG-NGEN	a	Bollywood film dekhne ke samay logic ghar mein chorke ana parta hain. Please logic mat ghusao
1	NAG-NGEN	a	Chutiya movie...
2	OAG-NGEN	a	Us jaat bnde ka khene ka matlab tha mar daluga use but gand fat gyi camera dekh ke chutiya sala shkl se hi frustrated lag rha hai for sure ye bnda andar hi andar gay hoga but iski andar ita dum nahi hoga ki confess kre tabhi sala age bhi apne bacho mai khaouf fila rha hai ..chutiya kahinka
3	OAG-NGEN	a	@USER Is CANCER *un feminist yeh sahi hai but iska matlab ye thodi na hai ki saare women ko gaali de agar ek insaan ne rape kiya to uske wajh se hume v rapist sunna parega kya?
4	NAG-NGEN	a	Amrit Anand अब तो जुड़े ही है उनको बोलो जुड़ने
5	NAG-NGEN	a	@USER Chauhan abey tum jse aadmiyo ko ye lgta hai to yhi shi.. Wse tumhare liye jaruri bhi hai..
6	OAG-NGEN	a	Kasturi is a jaahil
7	OAG-NGEN	a	"isliya jat jhant hota hai....""main jat hu"".....use ye nehi pata Baki duniya use jat nehi jhant bolte hai"
8	OAG-GEN	a	Lit sir🔥bhenco desh bhakti mai bhi item song pelenge 🤣😂
9	OAG-GEN	a	आर्मी में हमे मर्द चाहिए,हिजड़े नही ।
10	NAG-NGEN	a	bro house of card ka review karona
11	CAG-NGEN	a	@USER Tyagi chal jhutiiiii 😆😆
12	NAG-NGEN	a	Sahi bola bhai 🙌🙌gg
13	NAG-NGEN	a	Hello Mai ek human adviser hu Mai shwetabh gangwar sir bohot kuch shika hu..but shwetabh sir har ek boy ya girl ke liye video to nhi bana sakhenge to agar AP ko love break-up addition ect problem h to no-6200845455 contact me 10am to 8pm
14	NAG-NGEN	a	Bhai, Apka Video Ka FPS 30 Hai... Good.. Keep It Up...
15	CAG-NGEN	a	"""Liberal bhi hai, Tolerant bhi hai!!!"" LoL"
16	NAG-NGEN	a	यह एक संवेदनशील,कठोर,सनक, बेपरवाह, दर्द देने वाला,प्रेम कहानी है
