0	NAG-NGEN	a	Next part
1	NAG-NGEN	a	Iii8mllllllm Mdxfvb8o90lplppi0005
2	NAG-NGEN	a	🤣🤣😂😂🤣🤣🤣😂osm vedio ....keep it up...make more vedios like this
3	NAG-NGEN	a	What the fuck was this? I respect shwetabh and i have been watching his videos for quite a long time but this review was shit. Nobody wants to watch the movie for reality or blah. You dont watch movies for inspiration you would rather read books and biographies. Yes its true that some people are getting influenced and doing all shitty fuckery but just think. Anyone who takes this movie seriouslyis already a chutiya. And you dont go to theatre in india for some reality shit and if u really seek reality and logical scripts and characters without plotholes and all then you wouldnt be watching kabir singh. So I think you just made this for views, cause theres no need for this so called raw review. And one thing you acted like u forgot the movie name like seriously you know the whole story and you pronounced this overhyped mess wrongly? Oh common!!!😂
4	NAG-NGEN	a	Concerned authorities should bring arundathi Roy and other these type of people before the law of the land.for giving anti national statements
5	NAG-NGEN	a	It seems like these people want to be famous nothing more they don't care if people die by their hateful talks.
6	NAG-NGEN	a	Best topic for Law Students !
7	CAG-NGEN	a	Even when kabir singh was unaware that Preeti is having his son he was ready to accept other's baby and was ready to give his name though that was his baby but still he was ready to accept preeti even after thinking she has sex with other guy and feminists would not see this.
8	NAG-NGEN	a	She is wrong .
9	NAG-NGEN	a	6001733614
10	NAG-NGEN	a	Hindi old muvi
11	NAG-NGEN	a	rait
12	NAG-NGEN	a	Very well said dude, totally agree.
13	NAG-NGEN	a	👌👌👌👌👌right
14	CAG-NGEN	a	@USER Sain EXACTLY!!!!! don't we just go to see a movie to comprehend what the director and the story telling has to offer.... it's about understanding the Movie not Making all the things shown in the movie to the heart.
15	NAG-NGEN	a	Our Role Model - Shwetabh > Kabir ❤️
16	NAG-NGEN	a	@USER luck well i am from haryana. A small city called hisar. You can give me your number if u want but frankly i will not give you mine. I would like you as a friend. If you would like we can chat on facebook though
17	NAG-NGEN	a	she best arbitrator in kamatipura & sonargachi area settlements
18	NAG-NGEN	a	Yeah man **Fuck Bollywood** and become **mature** in real life!
19	CAG-NGEN	a	It Calls Uneducated Person means Unexpected Behavior 🤣😂🤣😂.. Thoko like
20	NAG-NGEN	a	Sahi kaha 😂🤣 Logic level ---- Bollywood
21	NAG-GEN	a	its not good i think its all dimaghi keeda being a gay or lesbian..
22	NAG-NGEN	a	giving the movie review of super 30?
23	NAG-NGEN	a	Saurabh Dwivedi sir, i appreciate you for maintaining neutral view of point. As for now, we have two media one modi loving and 2nd is modi hating. But you are neutral
24	NAG-GEN	a	Why can't the Indian government take serious actions to those who talk against the nation or anyone who involved in instigating any sort of violence or disturbing the peace of the nation. Freedom of speech doesn't allow anyone to go anti-national. This bitch (Arundhati Roy) has already given such statements that are anti-national on numerous occasions but she is still living freely. It's high time for the government to pass a law against these bastards, it doesn't matter who you are.
25	NAG-NGEN	a	Exactly. That was 100000000000x better than shitty kabir singh.
26	NAG-NGEN	a	Chhichhore review
27	NAG-NGEN	a	@USER ismail xc
28	OAG-NGEN	a	feminism means equality not discrimination first you should learn about this go and study about feminism.
29	NAG-NGEN	a	Like Baahubali.
30	NAG-NGEN	a	will blockbuster Kabir singh.. Yes : Like No : Comment all the best shahid ji😍👇👇 From Rebal star prabhas Fans
31	NAG-NGEN	a	Full support 💪🙌 bro Keep it up 👍
